Registration;Manuf.;Model;Type;c/n;l/n;Reg/Opr;SELC;built;delivery;until;status
HB-IJB;Airbus;A320-214;A320;545;;SWR;CRGP;1995;2006-11-23;;active
HB-IJD;Airbus;A320-214;A320;553;;SWR;EMFJ;1995;2007-11-05;;active
HB-IJE;Airbus;A320-214;A320;559;;SWR;DMEH;1995;2007-11-09;;active
HB-IJF;Airbus;A320-214;A320;562;;SWR;ERCM;1995;2007-04-07;;active
HB-IJH;Airbus;A320-214;A320;574;;SWR;EMGJ;1996;2007-05;;active
HB-IJI;Airbus;A320-214;A320;577;;SWR;FRJS;1996;2002-03-31;;active
HB-IJJ;Airbus;A320-214;A320;585;;SWR;FRKL;1996;2002-03-31;;active
HB-IJK;Airbus;A320-214;A320;596;;SWR;DMPQ;1996;2002-03-31;;active
HB-IJL;Airbus;A320-214;A320;603;;SWR;DMPS;1996;2002-03-31;;active
HB-IJM;Airbus;A320-214;A320;635;;SWR;DMQR;1996;2002-03-31;;active
HB-IJN;Airbus;A320-214;A320;643;;SWR;DPAS;1996;2002-03-31;;active
HB-IJO;Airbus;A320-214;A320;673;;SWR;DPCQ;1997;2002-03-31;;active
HB-IJP;Airbus;A320-214;A320;681;;SWR;DPEQ;1997;2002-03-31;;active
HB-IJQ;Airbus;A320-214;A320;701;;SWR;QSJP;1997;2002-03-31;;active
HB-IJR;Airbus;A320-214;A320;703;;SWR;QSJR;1997;2002-03-31;;active
HB-IJS;Airbus;A320-214;A320;782;;SWR;HSCP;1998;2002-03-31;;active
HB-IJU;Airbus;A320-214;A320;1951;;SWR;AEJP;2003;2003-03-27;;active
HB-IJW;Airbus;A320-214;A320;2134;;SWR;AELP;2003;2004-02-13;;active
HB-IOC;Airbus;A321-111;A321;520;;SWR;FRKQ;1995;2002-03-31;;active
HB-IOD;Airbus;A321-111;A321;522;;SWR;ARFP;1995;2007-03-06;;active
HB-IOF;Airbus;A321-111;A321;541;;SWR;ARJL;1995;2007-03-30;;active
HB-IOH;Airbus;A321-131;A321;664;;SWR;FRLS;1997;2002-03-31;;active
HB-IOK;Airbus;A321-111;A321;987;;SWR;FRMS;1999;2002-03-31;;active
HB-IOL;Airbus;A321-111;A321;1144;;SWR;FRPQ;1999;2002-03-31;;active
HB-IOM;Airbus;A321-212;A321;4534;;SWR;GHQR;2010;2010-12-14;;active
HB-ION;Airbus;A321-212;A321;5567;;SWR;JMDS;2013;2013-04-25;;active
HB-IOO;Airbus;A321-212 (W);A321;7007;;SWR;AELP;2016;2016-03-04;;active
HB-IPT;Airbus;A319-112;A319;727;;SWR;QSKL;1997;2002-03-31;;active
HB-IPU;Airbus;A319-112;A319;713;;SWR;QSKM;1997;2002-03-31;;active
HB-IPV;Airbus;A319-112;A319;578;;SWR;DPFQ;1996;2002-03-31;;active
HB-IPX;Airbus;A319-111;A319;612;;SWR;DPGQ;1996;2002-03-31;;active
HB-IPY;Airbus;A319-111;A319;621;;SWR;DPHQ;1996;2002-03-31;;active
